fen,move,game_id
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c7c5,1
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,b8c6,1
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,d7d6,1
r1bqkbnr/pp2pppp/2np4/2p5/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,e7e6,1
r1bqkbnr/pp3ppp/2npp3/1Bp5/3PP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 1 5,c5d4,1
r1bqkbnr/pp3ppp/2npp3/1B6/3PP3/5N2/PP3PPP/RNBQK2R b KQkq - 0 6,c8d7,1
r2qkbnr/pp1b1ppp/2npp3/1B1P4/4P3/5N2/PP3PPP/RNBQK2R b KQkq - 0 7,c6e5,1
r2qkbnr/pp1B1ppp/3pp3/3Pn3/4P3/5N2/PP3PPP/RNBQK2R b KQkq - 0 8,d8d7,1
r3kbnr/pp1q1ppp/3pp3/3PN3/4P3/8/PP3PPP/RNBQK2R b KQkq - 0 9,d6e5,1
r3kbnr/pp1q1ppp/4p3/3Pp3/4P3/8/PP3PPP/RNBQ1RK1 b kq - 1 10,e6d5,1
r3kbnr/pp1q1ppp/8/3Pp3/8/8/PP3PPP/RNBQ1RK1 b kq - 0 11,g8f6,1
r3kb1r/pp1q1ppp/3P1n2/4p3/8/8/PP3PPP/RNBQ1RK1 b kq - 0 12,f8d6,1
r3k2r/pp1q1ppp/3b1n2/4p3/8/8/PP3PPP/RNBQR1K1 b kq - 1 13,e5e4,1
r3k2r/pp1q1ppp/3b1n2/6B1/4p3/8/PP3PPP/RN1QR1K1 b kq - 1 14,a8d8,1
3rk2r/pp1q1ppp/3b1B2/8/4p3/8/PP3PPP/RN1QR1K1 b k - 0 15,d6h2,1
3rk2r/pp1q1ppp/5B2/8/4p3/8/PP3PPK/RN1QR3 b k - 0 16,d7d1,1
3rk2r/pp3ppp/5B2/8/4p3/8/PP3PPK/RN1R4 b k - 0 17,d8d1,1
4k2r/pp3pBp/8/8/4p3/8/PP3PPK/RN1r4 b k - 0 18,h8g8,1
4k1r1/pp3p1p/8/8/4p3/2B5/PP3PPK/RN1r4 b - - 2 19,f7f5,1
4k1r1/pp5p/8/5p2/4p3/2B3P1/PP3P1K/RN1r4 b - - 0 20,h7h5,1
4k1r1/pp6/8/5p1p/4p3/2B3P1/PP3PK1/RN1r4 b - - 1 21,f5f4,1
